Date,Quarter,Year,Company_Name,Ticker,SharePrice_USD,Expenses_B_USD,Revenue_B_USD,CashFlow_B_USD,DividendYield_Percent,US_Unemployment_Percent,Brent_USD,LNG_USD,US_Interest_Percent
2005-01-01,1,2005,Exxon,XOM,56,61.76,82.05,10.26,0.0027,0.053,48,9.89,0.0247
2005-01-01,1,2005,BP,BP,62,47.08,55.51,6.52,0.0051,0.053,48,9.89,0.0247
2005-01-01,1,2005,Equinor,EQNR,17,9.96,13.35,1.73,0,0.053,48,9.89,0.0247
2005-01-01,1,2005,Chevron,CVX,57,34.46,41.61,2.44,0.004,0.053,48,9.89,0.0247
2005-01-01,1,2005,Shell,RDS-A,63,62.36,72.16,5.16,0,0.053,48,9.89,0.0247
2005-01-01,1,2005,Total,TOT,56,26.66,34.58,3.27,0,0.053,48,9.89,0.0247
2005-04-01,2,2005,Exxon,XOM,58,67.85,88.57,5.28,0.0029,0.052,52,9.24,0.0294
2005-04-01,2,2005,BP,BP,62,50.76,59.27,3.86,0.0051,0.052,52,9.24,0.0294
2005-04-01,2,2005,Equinor,EQNR,18,10.88,14.23,-0.15,0.0051,0.052,52,9.24,0.0294
2005-04-01,2,2005,Chevron,CVX,55,39.6,45.19,2.44,0.0045,0.052,52,9.24,0.0294
2005-04-01,2,2005,Shell,RDS-A,63,73.63,82.64,3.17,0,0.052,52,9.24,0.0294
2005-04-01,2,2005,Total,TOT,57,26.59,33.62,0.64,0.0196,0.052,52,9.24,0.0294
2005-07-01,3,2005,Exxon,XOM,61,76.26,100.72,12.28,0.0029,0.05,62,19.14,0.0346
2005-07-01,3,2005,BP,BP,68,57.84,67.99,3.3,0.0054,0.05,62,19.14,0.0346
2005-07-01,3,2005,Equinor,EQNR,23,12.4,16.01,1.46,0,0.05,62,19.14,0.0346
2005-07-01,3,2005,Chevron,CVX,61,45.35,52.19,3.19,0.0045,0.05,62,19.14,0.0346
2005-07-01,3,2005,Shell,RDS-A,67,65.85,76.44,-3.47,0.0055,0.05,62,19.14,0.0346
2005-07-01,3,2005,Total,TOT,65,31.12,39.91,3.09,0,0.05,62,19.14,0.0346
2005-10-01,4,2005,Exxon,XOM,58,73.34,99.34,6.49,0.0029,0.05,57,12.4,0.0398
2005-10-01,4,2005,BP,BP,66,57.84,67.99,0.76,0.0054,0.05,57,12.4,0.0398
2005-10-01,4,2005,Equinor,EQNR,23,10.93,14.75,0.64,0,0.05,57,12.4,0.0398
2005-10-01,4,2005,Chevron,CVX,59,44.29,60.34,2.77,0.0045,0.05,57,12.4,0.0398
2005-10-01,4,2005,Shell,RDS-A,65,67.55,75.5,9.35,0.0056,0.05,57,12.4,0.0398
2005-10-01,4,2005,Total,TOT,63,58.68,64.01,0.32,0.0179,0.05,57,12.4,0.0398
2006-01-01,1,2006,Exxon,XOM,60,65.51,88.98,10.9,0.0032,0.048,62,8.96,0.0445
2006-01-01,1,2006,BP,BP,69,54.95,63.29,5.5,0.0056,0.048,62,8.96,0.0445
2006-01-01,1,2006,Equinor,EQNR,26,11.91,16.64,1.62,0,0.048,62,8.96,0.0445
2006-01-01,1,2006,Chevron,CVX,58,46.82,54.62,3.2,0.0045,0.048,62,8.96,0.0445
2006-01-01,1,2006,Shell,RDS-A,66,65.8,75.96,3.68,0.0056,0.048,62,8.96,0.0445
2006-01-01,1,2006,Total,TOT,63,33.88,42.4,3.38,0,0.048,62,8.96,0.0445
2006-04-01,2,2006,Exxon,XOM,61,72.26,99.03,7.44,0.0032,0.047,69,7.38,0.0491
2006-04-01,2,2006,BP,BP,71,63.08,73.17,5.56,0.0056,0.047,69,7.38,0.0491
2006-04-01,2,2006,Equinor,EQNR,30,12.26,17.05,1.53,0.0055,0.047,69,7.38,0.0491
2006-04-01,2,2006,Chevron,CVX,60,45.01,53.54,2.42,0.0052,0.047,69,7.38,0.0491
2006-04-01,2,2006,Shell,RDS-A,69,72.52,83.13,1.02,0.0056,0.047,69,7.38,0.0491
2006-04-01,2,2006,Total,TOT,66,36.98,45.74,2.06,0.0207,0.047,69,7.38,0.0491
2006-07-01,3,2006,Exxon,XOM,67,73.08,99.59,10.78,0.0032,0.047,70,4.63,0.0525
2006-07-01,3,2006,BP,BP,69,62.08,73,1.08,0.0059,0.047,70,4.63,0.0525
2006-07-01,3,2006,Equinor,EQNR,28,11.71,16.32,0.96,0,0.047,70,4.63,0.0525
2006-07-01,3,2006,Chevron,CVX,65,44.76,54.21,3.29,0.0052,0.047,70,4.63,0.0525
2006-07-01,3,2006,Shell,RDS-A,71,75,84.25,4.35,0.0063,0.047,70,4.63,0.0525
2006-07-01,3,2006,Total,TOT,66,35.63,42.51,3.62,0,0.047,70,4.63,0.0525
2006-10-01,4,2006,Exxon,XOM,73,97.68,90.03,4.7,0.0032,0.047,60,6.99,0.0524
2006-10-01,4,2006,BP,BP,67,56.8,66.64,0.91,0.0059,0.045,60,6.99,0.0524
2006-10-01,4,2006,Equinor,EQNR,26,14.05,18.86,-1.07,0,0.045,60,6.99,0.0524
2006-10-01,4,2006,Chevron,CVX,69,31.47,47.75,1.6,0.0052,0.045,60,6.99,0.0524
2006-10-01,4,2006,Shell,RDS-A,71,67.85,75.5,-0.28,0.0063,0.045,60,6.99,0.0524
2006-10-01,4,2006,Total,TOT,69,37.34,44.8,-1.32,0.0111,0.045,60,6.99,0.0524
