Date,SharePrice_USD
2005-01-01,56
2005-01-01,62
2005-01-01,17
2005-01-01,57
2005-01-01,63
2005-01-01,56
2005-04-01,58
2005-04-01,62
2005-04-01,18
2005-04-01,55
2005-04-01,63
2005-04-01,57
2005-07-01,61
2005-07-01,68
2005-07-01,23
2005-07-01,61
2005-07-01,67
2005-07-01,65
2005-10-01,58
2005-10-01,66
2005-10-01,23
2005-10-01,59
2005-10-01,65
2005-10-01,63
2006-01-01,60
2006-01-01,69
2006-01-01,26
2006-01-01,58
2006-01-01,66
2006-01-01,63
2006-04-01,61
2006-04-01,71
2006-04-01,30
2006-04-01,60
2006-04-01,69
2006-04-01,66
2006-07-01,67
2006-07-01,69
2006-07-01,28
2006-07-01,65
2006-07-01,71
2006-07-01,66
2006-10-01,73
2006-10-01,67
2006-10-01,26
2006-10-01,69
2006-10-01,71
2006-10-01,69
2007-01-01,73
2007-01-01,63
2007-01-01,26
2007-01-01,71
2007-01-01,66
2007-01-01,68
2007-04-01,81
2007-04-01,68
2007-04-01,28
2007-04-01,80
2007-04-01,74
2007-04-01,75
2007-07-01,87
2007-07-01,69
2007-07-01,30
2007-07-01,88
2007-07-01,80
2007-07-01,78
2007-10-01,91
2007-10-01,74
2007-10-01,32
2007-10-01,90
2007-10-01,82
2007-10-01,80
2008-01-01,87
2008-01-01,65
2008-01-01,29
2008-01-01,85
2008-01-01,71
2008-01-01,76
2008-04-01,90
2008-04-01,70
2008-04-01,37
2008-04-01,96
2008-04-01,78
2008-04-01,83
2008-07-01,80
2008-07-01,59
2008-07-01,30
2008-07-01,86
2008-07-01,68
2008-07-01,72
2008-10-01,75
2008-10-01,46
2008-10-01,17
2008-10-01,72
2008-10-01,50
2008-10-01,52
2009-01-01,73
2009-01-01,41
2009-01-01,17
2009-01-01,68
2009-01-01,46
2009-01-01,50
2009-04-01,69
2009-04-01,46
2009-04-01,20
2009-04-01,67
2009-04-01,49
2009-04-01,53
2009-07-01,69
2009-07-01,51
2009-07-01,21
2009-07-01,68
2009-07-01,53
2009-07-01,56
2009-10-01,72
2009-10-01,57
2009-10-01,25
2009-10-01,77
2009-10-01,59
2009-10-01,62
2010-01-01,67
2010-01-01,57
2010-01-01,23
2010-01-01,75
2010-01-01,55
2010-01-01,59
2010-04-01,64
2010-04-01,46
2010-04-01,22
2010-04-01,77
2010-04-01,54
2010-04-01,51
2010-07-01,60
2010-07-01,37
2010-07-01,20
2010-07-01,76
2010-07-01,54
2010-07-01,50
2010-10-01,69
2010-10-01,42
2010-10-01,22
2010-10-01,85
2010-10-01,63
2010-10-01,53
2011-01-01,81
2011-01-01,47
2011-01-01,25
2011-01-01,98
2011-01-01,70
2011-01-01,58
2011-04-01,82
2011-04-02,45
2011-04-03,26
2011-04-04,104
2011-04-05,72
2011-04-06,58
2011-07-01,76
2011-07-01,41
2011-07-01,23
2011-07-01,99
2011-07-01,68
2011-07-01,49
2011-10-01,79
2011-10-01,42
2011-10-01,25
2011-10-01,102
2011-10-01,71
2011-10-01,50
2012-01-01,86
2012-01-01,46
2012-01-01,27
2012-01-01,108
2012-01-01,73
2012-01-01,54
2012-04-01,83
2012-04-01,40
2012-04-01,25
2012-04-01,102
2012-04-01,68
2012-04-01,46
2012-07-01,88
2012-07-01,42
2012-07-01,25
2012-07-01,111
2012-07-01,72
2012-07-01,48
2012-10-01,89
2012-10-01,42
2012-10-01,25
2012-10-01,109
2012-10-01,70
2012-10-01,50
